x,y,word,cluster
0.06587205,-0.0026452646,清热解毒,90
0.074691795,0.002881404,热药,3
0.07440121,-0.00327242,属清,3
0.02993251,-0.0016560026,清热,44
0.0472648,-0.0019894515,风湿,21
0.004870735,0.003854379,止痛,93
0.017008875,0.00022206546,活血,69
0.03676764,0.0022140283,消肿,7
0.017041974,0.0029293487,解毒,16
0.0736178,-0.0043800287,凉血,52
0.045123454,-0.00042483996,止血,29
0.061847262,0.0008615929,止血药,14
0.022566602,0.001520411,活血化瘀,35
0.007956098,0.006671462,利尿,27
-0.04384968,0.0027557076,补虚,54
-0.0018984285,0.014876385,止咳,56
-0.025717609,0.027129963,平喘药,77
0.007855768,-0.0029967832,祛风,16
0.01790311,0.0030893956,杀虫,80
0.03004413,0.0065973387,燥湿,98
0.058387354,-0.0056375707,强筋骨,76
-0.019799585,0.023925893,化痰止咳,26
-0.024483837,0.010016486,利水渗湿,88
-0.03425084,0.004923451,理气,50
-0.057333525,-0.010120219,安神,49
-0.06606707,0.00419656,解表药,42
0.008252227,-0.0021174883,行气,41
0.013850367,-0.0066347015,调经,70
0.0036797994,0.012184525,通淋,27
-0.07013939,-0.06605608,平肝,65
-0.012521451,-0.0019894596,消食,63
0.051518593,-0.0031975461,散瘀,37
0.04174794,0.0017192764,利湿,7
0.028699359,-0.00063113234,祛风除湿,93
0.03601983,-0.0050630746,收敛,29
0.04938875,-0.0024035256,止痛药,60
0.0002067751,-0.0013569092,散结,8
-0.013507686,0.0012238523,健脾,73
0.020361684,-0.00095762406,止痒,38
-0.1296737,0.012827449,收涩,30
-0.020245807,0.007150652,平喘,32
-0.049860578,0.017298967,痰药,18
0.020889638,0.0053389445,祛痰,1
-0.039386075,-0.002091687,通便,62
-0.008980237,0.005812244,化痰,8
-0.049235642,0.0030131096,辛温解表,33
-0.006867776,0.00091475033,补阳药,89
-0.04933209,-0.012039274,明目,0
-0.0565423,0.0032870285,生津,23
-0.059038952,-0.00042449316,补气药,23
0.046486005,-0.0013802953,清热利湿,37
-0.10459628,-0.06573269,风药,40
0.028014662,-0.0053617056,清热泻火,44
-0.031370144,0.0060775983,消肿药,57
-0.0065622865,0.01094986,利水,34
-0.076205224,-0.0011245845,辛凉解表,45
-0.02177875,0.005968247,温里药,73
-0.109823614,0.004639434,泻下,36
-0.025484968,0.009115326,润肺,47
0.0057740607,0.005599448,散寒,41
-0.008974968,0.00494284,破血,82
0.041372113,-0.00034512216,化瘀,29
-0.038162682,0.002924978,化湿,62
-0.018248457,0.003884024,通经,99
0.014782809,0.006410285,消积,78
-0.16998173,0.009479954,固精,48
-0.01904105,-0.00030756523,开窍,68
-0.054668136,0.003858994,补阴药,23
0.07086509,0.0042361505,利咽,87
-0.005178859,0.002823352,除湿,75
-0.014485454,0.0023651987,解表,66
-0.0038484258,0.012205568,化热,86
0.04291927,0.00528921,排脓,7
-0.022826165,0.0001529856,益气,32
-0.03210985,0.0049749296,拔毒,4
-0.0048763077,0.0049234726,补肾,51
-0.04802806,0.012201459,消痰,84
-0.08280319,0.0131157,肠药,53
-0.060712695,0.018801998,肺涩,67
0.024947915,-0.00016261401,生肌,81
-0.05644463,0.001313876,透疹,74
-0.078558795,-0.0024528638,养心安神,71
-0.007208468,0.006713466,健胃,64
0.0005001821,0.0042169434,湿热,64
-0.09604467,-0.045454334,痉药,61
-0.08133965,-0.057772744,风止,15
0.016838811,0.0055538192,温中,93
0.06827053,-0.001986415,消肿止痛,31
-0.01562313,0.0072591957,温化寒,39
-0.03523852,0.0011360782,润燥,32
0.0014373254,-0.00084057776,养血,41
0.004866637,-0.0018558499,疏风,8
-0.027135259,-0.0019364237,和胃,85
-0.0438893,-0.0007823952,下气,50
-0.06111422,-0.006540702,养阴,23
-0.01993937,-0.0012563643,开胃,85
0.039366163,-0.0020217595,补肝肾,92
-0.058709968,-0.0015282951,发表,59
0.037008747,-0.00025205806,下乳,7
0.019033777,0.00038728322,温肾,41
-0.07403731,-0.0110302325,重镇安神,13
0.06660407,-0.002893323,散寒药,31
-0.04710332,-0.0052033486,退翳,0
0.015846562,0.00022266469,驱虫药,41
-0.04107697,0.0075303707,降气,62
-0.20339136,0.015385875,缩尿止,22
-0.06922533,-0.0007214408,风热,58
-0.23041818,0.012503851,带药,6
-0.0175825,-0.00047097847,补气,94
-0.024314078,0.0035269107,滋阴,73
-0.13626121,-0.03298692,平抑,83
-0.14230128,-0.027748076,肝阳,5
